Image Name, Appearances, Hits, Misses
Checkerboard.png, 1, 32, -31

Hour, # Successful Pokes
1, 21
2, 13
3, 44
4, 28
5, 8
6, 3
7, 2
8, 0
9, 1
10, 4
11, 4
12, 0

Image, Time of poke, Latencies (sec)
Checkerboard.png, 2426.033, 2425.796
Checkerboard.png, 3446.645, 3446.408
Checkerboard.png, 6753.32, 6753.083
Checkerboard.png, 7205.486, 7205.249
Checkerboard.png, 12915.113, 12914.876
Checkerboard.png, 14021.64, 14021.403
Checkerboard.png, 14977.753, 14977.516000000001
Checkerboard.png, 17616.724, 17616.486999999997
Checkerboard.png, 18427.225, 18426.987999999998
Checkerboard.png, 19848.634, 19848.396999999997
Checkerboard.png, 21009.979, 21009.742
Checkerboard.png, 30689.875, 30689.638
Checkerboard.png, 37969.057, 37968.82
