Image Name, Appearances, Hits, Misses
Checkerboard.png, 1, 168, -167

Hour, # Successful Pokes
1, 55
2, 47
3, 50
4, 50
5, 56
6, 55
7, 42
8, 75
9, 56
10, 66
11, 49
12, 50

Image, Time of poke, Latencies (sec)
Checkerboard.png, 41.32, 41.09
Checkerboard.png, 757.413, 757.183
Checkerboard.png, 2959.624, 2959.394
Checkerboard.png, 3110.7, 3110.47
Checkerboard.png, 3140.318, 3140.088
Checkerboard.png, 4067.725, 4067.495
Checkerboard.png, 5361.247, 5361.017000000001
Checkerboard.png, 6224.819, 6224.589000000001
Checkerboard.png, 7598.332, 7598.102000000001
Checkerboard.png, 7643.393, 7643.1630000000005
Checkerboard.png, 8032.799, 8032.569
Checkerboard.png, 10895.023, 10894.793
Checkerboard.png, 12808.711, 12808.481
Checkerboard.png, 13718.119, 13717.889000000001
Checkerboard.png, 16427.698, 16427.468
Checkerboard.png, 20170.07, 20169.84
Checkerboard.png, 22046.504, 22046.274
Checkerboard.png, 22919.882, 22919.652000000002
Checkerboard.png, 24429.625, 24429.395
Checkerboard.png, 24660.926, 24660.696
Checkerboard.png, 25160.321, 25160.091
Checkerboard.png, 26074.174, 26073.944
Checkerboard.png, 27552.433, 27552.203
Checkerboard.png, 27721.306, 27721.076
Checkerboard.png, 28140.795, 28140.565
Checkerboard.png, 28408.267, 28408.037
Checkerboard.png, 28575.632, 28575.402000000002
Checkerboard.png, 29840.737, 29840.507
Checkerboard.png, 29840.861, 29840.631
Checkerboard.png, 31611.625, 31611.395
Checkerboard.png, 32165.986, 32165.756
Checkerboard.png, 32166.255, 32166.025
Checkerboard.png, 32353.259, 32353.029
Checkerboard.png, 32627.434, 32627.204
Checkerboard.png, 32790.906, 32790.676
Checkerboard.png, 33059.034, 33058.804
Checkerboard.png, 33142.389, 33142.159
Checkerboard.png, 34204.948, 34204.71799999999
Checkerboard.png, 35195.391, 35195.161
Checkerboard.png, 36134.179, 36133.94899999999
Checkerboard.png, 36567.98, 36567.75
Checkerboard.png, 36814.141, 36813.911
Checkerboard.png, 38094.261, 38094.030999999995
Checkerboard.png, 38503.546, 38503.316
Checkerboard.png, 39655.713, 39655.483
Checkerboard.png, 39845.187, 39844.956999999995
