Image Name, Appearances, Hits, Misses
Checkerboard-contrast_1.png, 11, 0, 11
Checkerboard-contrast_2.png, 10, 0, 10
Checkerboard-contrast_4.png, 10, 0, 10
Checkerboard-contrast_7.png, 9, 0, 9
Checkerboard-contrast_14.png, 8, 1, 7
Checkerboard-contrast_27.png, 7, 0, 7
Checkerboard-contrast_52.png, 7, 0, 7
Checkerboard-contrast_100.png, 7, 1, 6

Hour, # Successful Pokes
1, 2
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0

Image, Time of poke, Latencies (sec)
Checkerboard-contrast_14.png, 1508.353, 14.560000000000173
Checkerboard-contrast_100.png, 3427.787, 24.021999999999935
