Image Name, Appearances, Hits, Misses
Checkerboard-contrast_1.png, 9, 0, 9
Checkerboard-contrast_2.png, 9, 2, 7
Checkerboard-contrast_4.png, 7, 1, 6
Checkerboard-contrast_7.png, 6, 0, 6
Checkerboard-contrast_14.png, 5, 0, 5
Checkerboard-contrast_27.png, 5, 0, 5
Checkerboard-contrast_52.png, 3, 0, 3
Checkerboard-contrast_100.png, 3, 1, 2

Hour, # Successful Pokes
1, 4
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0

Image, Time of poke, Latencies (sec)
Checkerboard-contrast_2.png, 1543.383, 17.635999999999967
Checkerboard-contrast_2.png, 2107.604, 6.179999999999836
Checkerboard-contrast_4.png, 2820.781, 28.434999999999945
Checkerboard-contrast_100.png, 1938.899, 19.358999999999924
