Image Name, Appearances, Hits, Misses
Checkerboard.png, 1, 60, -59

Hour, # Successful Pokes
1, 27
2, 21
3, 48
4, 28
5, 40
6, 51
7, 50
8, 33
9, 16
10, 4
11, 17
12, 38

Image, Time of poke, Latencies (sec)
Checkerboard.png, 4587.979, 4587.735000000001
Checkerboard.png, 9668.826, 9668.581999999999
Checkerboard.png, 11111.547, 11111.303
Checkerboard.png, 13721.853, 13721.608999999999
Checkerboard.png, 15404.623, 15404.378999999999
Checkerboard.png, 18602.264, 18602.02
Checkerboard.png, 18603.93, 18603.686
Checkerboard.png, 19330.134, 19329.89
Checkerboard.png, 25040.595, 25040.351000000002
Checkerboard.png, 25050.125, 25049.881
Checkerboard.png, 25649.6, 25649.356
Checkerboard.png, 28028.889, 28028.645
Checkerboard.png, 29175.035, 29174.791
Checkerboard.png, 40467.795, 40467.551
