Image Name, Appearances, Hits, Misses
Checkerboard.png, 31, 31, 0

Hour, # Successful Pokes
1, 0
2, 0
3, 0
4, 1
5, 5
6, 7
7, 7
8, 3
9, 3
10, 0
11, 5
12, 0

Image, Time of poke, Latencies (sec)
Checkerboard.png, 14102.741, 535.4279999999999
Checkerboard.png, 16162.585, 330.9479999999985
Checkerboard.png, 16619.353, 346.89799999999923
Checkerboard.png, 17355.452, 359.5650000000023
Checkerboard.png, 17634.904, 161.22399999999834
Checkerboard.png, 17886.511, 159.2609999999986
Checkerboard.png, 18273.714, 224.62900000000081
Checkerboard.png, 19208.765, 421.6489999999976
Checkerboard.png, 19411.067, 101.91200000000026
Checkerboard.png, 19780.424, 252.81199999999808
Checkerboard.png, 20284.122, 406.8040000000001
Checkerboard.png, 20638.757, 274.21700000000055
Checkerboard.png, 21370.057, 640.6730000000025
Checkerboard.png, 22690.339, 387.6189999999988
Checkerboard.png, 23166.818, 221.78499999999985
Checkerboard.png, 23662.939, 420.96099999999933
Checkerboard.png, 23841.915, 41.22100000000137
Checkerboard.png, 24180.927, 275.6389999999992
Checkerboard.png, 24644.719, 340.7639999999992
Checkerboard.png, 25151.194, 425.22699999999895
Checkerboard.png, 25877.728, 515.6349999999984
Checkerboard.png, 26216.249, 245.15799999999945
Checkerboard.png, 26679.356, 351.1359999999986
Checkerboard.png, 29824.539, 201.9210000000021
Checkerboard.png, 30322.664, 280.20700000000215
Checkerboard.png, 30638.649, 125.20400000000154
Checkerboard.png, 37045.436, 79.48500000000058
Checkerboard.png, 37273.764, 82.95300000000134
Checkerboard.png, 37613.458, 129.7699999999968
Checkerboard.png, 37782.404, 66.3660000000018
Checkerboard.png, 37967.529, 83.35199999999895
