Image Name, Appearances, Hits, Misses
Checkerboard.png, 1, 82, -81

Hour, # Successful Pokes
1, 37
2, 17
3, 24
4, 27
5, 51
6, 41
7, 35
8, 67
9, 29
10, 24
11, 47
12, 22

Image, Time of poke, Latencies (sec)
Checkerboard.png, 1214.134, 1213.846
Checkerboard.png, 1389.846, 1389.558
Checkerboard.png, 2264.089, 2263.801
Checkerboard.png, 6322.597, 6322.309
Checkerboard.png, 7036.654, 7036.366000000001
Checkerboard.png, 15100.723, 15100.435
Checkerboard.png, 23153.024, 23152.736
Checkerboard.png, 23838.663, 23838.375
Checkerboard.png, 25098.953, 25098.665
Checkerboard.png, 25742.208, 25741.92
Checkerboard.png, 28393.101, 28392.813
Checkerboard.png, 30606.996, 30606.708
Checkerboard.png, 34562.925, 34562.637
Checkerboard.png, 36148.919, 36148.631
Checkerboard.png, 37676.419, 37676.131
