Image Name, Appearances, Hits, Misses
Checkerboard.png, 1, 72, -71

Hour, # Successful Pokes
1, 34
2, 17
3, 6
4, 32
5, 39
6, 17
7, 51
8, 27
9, 58
10, 41
11, 55
12, 57

Image, Time of poke, Latencies (sec)
Checkerboard.png, 713.967, 713.734
Checkerboard.png, 801.782, 801.5490000000001
Checkerboard.png, 882.613, 882.3800000000001
Checkerboard.png, 1667.37, 1667.137
Checkerboard.png, 2414.118, 2413.8849999999998
Checkerboard.png, 3442.388, 3442.1549999999997
Checkerboard.png, 3515.314, 3515.0809999999997
Checkerboard.png, 12921.492, 12921.259
Checkerboard.png, 13559.707, 13559.474
Checkerboard.png, 22498.621, 22498.388
Checkerboard.png, 26557.752, 26557.519
Checkerboard.png, 33828.193, 33827.96
Checkerboard.png, 34721.142, 34720.909
Checkerboard.png, 34806.142, 34805.909
Checkerboard.png, 41461.339, 41461.106
