Image Name, Appearances, Hits, Misses
Checkerboard.png, 73, 67, 6

Hour, # Successful Pokes
1, 3
2, 13
3, 4
4, 0
5, 12
6, 1
7, 5
8, 22
9, 0
10, 5
11, 1
12, 1

Image, Time of poke, Latencies (sec)
Checkerboard.png, 2410.116, 5.572999999999865
Checkerboard.png, 2502.092, 5.039000000000215
Checkerboard.png, 3169.279, 3.3279999999999745
Checkerboard.png, 3718.519, 3.7919999999999163
Checkerboard.png, 4060.142, 3.7469999999998436
Checkerboard.png, 4300.523, 3.71100000000024
Checkerboard.png, 4585.118, 4.110000000000582
Checkerboard.png, 4888.984, 2.993000000000393
Checkerboard.png, 5047.822, 3.2359999999998763
Checkerboard.png, 5486.667, 3.5820000000003347
Checkerboard.png, 5853.748, 4.657999999999447
Checkerboard.png, 6451.854, 4.144000000000233
Checkerboard.png, 6558.642, 3.2200000000002547
Checkerboard.png, 6651.074, 3.540999999999258
Checkerboard.png, 6736.751, 4.317000000000007
Checkerboard.png, 7020.952, 3.3299999999999272
Checkerboard.png, 7432.613, 10.13300000000072
Checkerboard.png, 7583.119, 2.76299999999992
Checkerboard.png, 7720.785, 5.2039999999997235
Checkerboard.png, 7833.933, 3.688000000000102
Checkerboard.png, 15880.515, 4.691999999999098
Checkerboard.png, 16280.818, 3.4719999999997526
Checkerboard.png, 16359.47, 4.002999999998792
Checkerboard.png, 16457.276, 3.7330000000001746
Checkerboard.png, 16727.95, 3.2880000000004657
Checkerboard.png, 16833.746, 3.242999999998574
Checkerboard.png, 16917.322, 3.278999999998632
Checkerboard.png, 16972.176, 3.3410000000003492
Checkerboard.png, 17104.969, 2.8110000000015134
Checkerboard.png, 17253.391, 4.032999999999447
Checkerboard.png, 17431.846, 3.4210000000020955
Checkerboard.png, 17966.303, 3.912000000000262
Checkerboard.png, 18148.399, 4.050999999999476
Checkerboard.png, 24099.843, 3.3510000000023865
Checkerboard.png, 24385.476, 3.8950000000004366
Checkerboard.png, 24500.329, 3.9620000000031723
Checkerboard.png, 25069.377, 2.5050000000010186
Checkerboard.png, 25151.572, 3.165000000000873
Checkerboard.png, 25450.588, 4.050999999999476
Checkerboard.png, 25629.691, 3.480999999999767
Checkerboard.png, 25944.393, 3.5570000000006985
Checkerboard.png, 26001.863, 2.9070000000028813
Checkerboard.png, 26077.201, 2.6370000000024447
Checkerboard.png, 26127.494, 4.127999999996973
Checkerboard.png, 26196.617, 3.102999999999156
Checkerboard.png, 26299.914, 3.018000000000029
Checkerboard.png, 26375.012, 2.9209999999984575
Checkerboard.png, 26440.555, 3.9939999999987776
Checkerboard.png, 26475.513, 2.8799999999973807
Checkerboard.png, 26551.565, 2.9470000000001164
Checkerboard.png, 26585.523, 2.893000000000029
Checkerboard.png, 26637.459, 3.2150000000001455
Checkerboard.png, 26682.692, 3.0609999999978754
Checkerboard.png, 26702.713, 3.041000000001077
Checkerboard.png, 27226.171, 3.430999999996857
Checkerboard.png, 27416.775, 3.3470000000015716
Checkerboard.png, 27646.616, 4.417000000001281
Checkerboard.png, 27682.429, 4.059000000001106
Checkerboard.png, 27783.823, 2.470000000001164
Checkerboard.png, 28294.438, 4.779999999998836
Checkerboard.png, 34815.235, 3.99199999999837
Checkerboard.png, 34864.879, 3.5339999999996508
Checkerboard.png, 35484.986, 4.100999999995111
Checkerboard.png, 35774.54, 4.989999999997963
Checkerboard.png, 35899.129, 4.913000000000466
Checkerboard.png, 36086.387, 22.40899999999965
Checkerboard.png, 42998.365, 3.7269999999989523
