
Time of reward, Image, Time of poke, Latencies (sec)
Image Name, Appearances, Hits, Misses, Success Rate %, Latency Mean, Latency SEM
Vertical_Stripes.png, 1, 51, -50, 5100.0, 24702.958, nan

Hour, # Successful Pokes
1, 62
2, 88
3, 76
4, 65
5, 41
6, 43
7, 97
8, 114
9, 88
10, 57
11, 11
12, 20
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, 2417.507, 2417.284
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, 18652.773, 18652.55
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, 19137.405, 19137.181999999997
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, 24703.181, 24702.958
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
0.223, Vertical_Stripes.png, TIMEOUT
